team_name,team_seed,region,round,vegas_prob,public_pick_pct,leverage,leverage_ratio,round_weighted_leverage,high_signal_flag,zero_ownership_flag,sign_flip_flag,prop_norm_caution_flag
Troy,13,South,r2,0.015511,0.025,-0.009489,0.6204,-0.1898,N,N,,N
Troy,13,South,r3,0.011368,0.007,0.004368,1.624,0.1747,N,N,,N
Troy,13,South,r4,0.001698,0.001,0.000698,1.698,0.0558,N,N,N,N
Troy,13,South,r5,0.000982,0.0005,0.000482,1.964,0.0771,N,N,,Y
Troy,13,South,r6,0.000449,0.0001,0.000349,4.49,0.1117,N,N,,Y
Hofstra,13,Midwest,r1,0.1475,0.205,-0.0575,0.7195,-0.575,N,N,,N
Hofstra,13,Midwest,r2,0.034673,0.023,0.011673,1.5075,0.2335,N,N,,N
Hofstra,13,Midwest,r3,0.014406,0.006,0.008406,2.401,0.3362,N,N,,N
Hofstra,13,Midwest,r4,0.002121,0.001,0.001121,2.121,0.0897,N,N,N,N
Hofstra,13,Midwest,r5,0.001318,0.0005,0.000818,2.636,0.1309,N,N,,Y
Hofstra,13,Midwest,r6,0.000399,0.0001,0.000299,3.99,0.0957,N,N,,Y
Hawai'i,13,West,r1,0.1011,0.195,-0.0939,0.5185,-0.939,N,N,,N
Hawai'i,13,West,r2,0.014331,0.022,-0.007669,0.6514,-0.1534,N,N,,N
Hawai'i,13,West,r3,0.008484,0.005,0.003484,1.6968,0.1394,N,N,,N
Hawai'i,13,West,r4,0.001715,0.001,0.000715,1.715,0.0572,N,N,N,N
Hawai'i,13,West,r5,0.000972,0.0005,0.000472,1.944,0.0755,N,N,,Y
Hawai'i,13,West,r6,0.000409,0.0001,0.000309,4.09,0.0989,N,N,,Y
N Dakota St,14,East,r1,0.0876,0.116,-0.0284,0.7552,-0.284,N,N,,N
N Dakota St,14,East,r2,0.018219,0.011,0.007219,1.6563,0.1444,N,N,,N
N Dakota St,14,East,r3,0.00848,0.002,0.00648,4.24,0.2592,N,N,,N
N Dakota St,14,East,r4,0.00168,0.0005,0.00118,3.36,0.0944,N,N,N,N
N Dakota St,14,East,r5,0.001413,0.0002,0.001213,7.065,0.1941,N,N,,Y
N Dakota St,14,East,r6,0.000381,0.0001,0.000281,3.81,0.0899,N,N,,Y
Penn,14,South,r1,0.0461,0.124,-0.0779,0.3718,-0.779,N,N,,N
Penn,14,South,r2,0.007799,0.012,-0.004201,0.6499,-0.084,N,N,,N
Penn,14,South,r3,0.003739,0.003,0.000739,1.2463,0.0296,N,N,,N
Penn,14,South,r4,0.001188,0.0005,0.000688,2.376,0.055,N,N,N,N
Penn,14,South,r5,0.000818,0.0002,0.000618,4.09,0.0989,N,N,,Y
Penn,14,South,r6,0.000628,0.0001,0.000528,6.28,0.169,N,N,,Y
Wright St,14,Midwest,r1,0.0689,0.147,-0.0781,0.4687,-0.781,N,N,,N
Wright St,14,Midwest,r2,0.008916,0.014,-0.005084,0.6369,-0.1017,N,N,,N
Wright St,14,Midwest,r3,0.006116,0.004,0.002116,1.529,0.0846,N,N,,N
Wright St,14,Midwest,r4,0.001018,0.0005,0.000518,2.036,0.0414,N,N,N,N
Wright St,14,Midwest,r5,0.000775,0.0002,0.000575,3.875,0.092,N,N,,Y
Wright St,14,Midwest,r6,0.000399,0.0001,0.000299,3.99,0.0957,N,N,,Y
Kennesaw St,14,West,r1,0.0643,0.124,-0.0597,0.5185,-0.597,N,N,,N
Kennesaw St,14,West,r2,0.007253,0.012,-0.004747,0.6044,-0.0949,N,N,,N
Kennesaw St,14,West,r3,0.005193,0.003,0.002193,1.731,0.0877,N,N,,N
Kennesaw St,14,West,r4,0.001458,0.0005,0.000958,2.916,0.0766,N,N,N,N
Kennesaw St,14,West,r5,0.00081,0.0002,0.00061,4.05,0.0976,N,N,,Y
Kennesaw St,14,West,r6,0.000409,0.0001,0.000309,4.09,0.0989,N,N,,Y
Furman,15,East,r1,0.0537,0.059,-0.0053,0.9102,-0.053,N,N,,N
Furman,15,East,r2,0.007715,0.005,0.002715,1.543,0.0543,N,N,,N
Furman,15,East,r3,0.004968,0.001,0.003968,4.968,0.1587,N,N,,N
Furman,15,East,r4,0.001008,0.0002,0.000808,5.04,0.0646,N,N,N,N
Furman,15,East,r5,0.000707,0.0001,0.000607,7.07,0.0971,N,N,,Y
Furman,15,East,r6,0.000381,5e-05,0.000331,7.62,0.1059,N,N,,Y
Idaho,15,South,r1,0.0422,0.055,-0.0128,0.7673,-0.128,N,N,,N
Idaho,15,South,r2,0.009532,0.004,0.005532,2.383,0.1106,N,N,,N
Idaho,15,South,r3,0.003365,0.001,0.002365,3.365,0.0946,N,N,,N
Idaho,15,South,r4,0.001443,0.0002,0.001243,7.215,0.0994,N,N,N,N
Idaho,15,South,r5,0.000818,0.0001,0.000718,8.18,0.1149,N,N,,Y
Idaho,15,South,r6,0.000449,5e-05,0.000399,8.98,0.1277,N,N,,Y
Tennessee St,15,Midwest,r1,0.0422,0.074,-0.0318,0.5703,-0.318,N,N,,N
Tennessee St,15,Midwest,r2,0.002972,0.007,-0.004028,0.4246,-0.0806,N,N,,N
Tennessee St,15,Midwest,r3,0.002656,0.001,0.001656,2.656,0.0662,N,N,,N
Tennessee St,15,Midwest,r4,0.001018,0.0002,0.000818,5.09,0.0654,N,N,N,N
Tennessee St,15,Midwest,r5,0.000775,0.0001,0.000675,7.75,0.108,N,N,,Y
Tennessee St,15,Midwest,r6,0.000399,5e-05,0.000349,7.98,0.1117,N,N,,Y
Queens,15,West,r1,0.0422,0.062,-0.0198,0.6806,-0.198,N,N,,N
Queens,15,West,r2,0.004369,0.006,-0.001631,0.7282,-0.0326,N,N,,N
Queens,15,West,r3,0.003291,0.001,0.002291,3.291,0.0916,N,N,,N
Queens,15,West,r4,0.001458,0.0002,0.001258,7.29,0.1006,N,N,N,N
Queens,15,West,r5,0.00081,0.0001,0.00071,8.1,0.1136,N,N,,Y
Queens,15,West,r6,0.000409,5e-05,0.000359,8.18,0.1149,N,N,,Y
Siena,16,East,r1,0.0272,0.018,0.0092,1.5111,0.092,N,N,,N
